Year,Dist Name,Crop,AREA,NITROGEN_CONSUMOTION,PHOSPHATE_CONSUMPTION,POTASH_CONSUMPTION,RAINFALL_YEARLY,PRODUCTION,YIELD
1990,Bangalore,RICE,21.40,3663.90,1004.32,771.85,938.00,39.32,1837.38
1990,Bangalore,WHEAT,0.03,5.14,2.11,1.08,938.00,0.03,1000.00
1990,Bangalore,SORGHUM ,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,PEARL MILLET,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,MAIZE,5.63,963.91,396.33,203.06,938.00,10.03,1781.53
1990,Bangalore,FINGER MILLET,204.13,11649.72,4790.01,3681.27,938.00,202.66,992.80
1990,Bangalore,BARLEY,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,CHICKPEA,0.70,19.97,32.85,12.62,938.00,0.12,171.43
1990,Bangalore,PIGEON PEA,6.00,171.21,281.59,108.20,938.00,2.83,471.67
1990,Bangalore,MINOR PULSES,46.35,1322.60,2175.25,835.87,938.00,12.64,272.71
1990,Bangalore,GROUNDNUT,18.73,534.46,879.02,337.78,938.00,15.05,803.52
1990,Bangalore,SESAMUM,1.05,37.45,61.60,71.01,938.00,0.55,523.81
1990,Bangalore,RAPESEEN & MUSTARD,1.75,149.81,61.60,31.56,938.00,0.57,325.71
1990,Bangalore,SAFFLOWER,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,CASTOR,2.99,255.96,105.24,80.88,938.00,2.63,879.60
1990,Bangalore,LINSEED,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,SUNFLOWER,0.05,4.28,3.52,1.35,938.00,0.03,600.00
1990,Bangalore,SOYABEAN,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1990,Bangalore,OILSEEDS,28.32,808.11,1329.09,510.72,938.00,19.76,697.74
1990,Bangalore,SUGARCANE,1.82,584.26,239.16,361.04,938.00,16.89,9280.22
1990,Bangalore,COTTON,0.00,0.00,0.00,0.00,938.00,0.00,0.00
1991,Bangalore,RICE,38.33,6543.30,1848.51,1362.57,1070.00,92.99,2426.04
1991,Bangalore,WHEAT,0.02,3.41,1.45,0.71,1070.00,0.03,1500.00
1991,Bangalore,SORGHUM ,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,PEARL MILLET,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,MAIZE,7.46,1273.49,539.65,265.19,1070.00,22.42,3005.36
1991,Bangalore,FINGER MILLET,209.16,11901.88,5043.48,3717.65,1070.00,309.35,1479.01
1991,Bangalore,BARLEY,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,CHICKPEA,0.19,5.41,9.16,3.38,1070.00,0.05,263.16
1991,Bangalore,PIGEON PEA,7.33,208.55,353.50,130.28,1070.00,4.37,596.18
1991,Bangalore,MINOR PULSES,44.77,1273.78,2159.08,795.75,1070.00,11.45,255.75
1991,Bangalore,GROUNDNUT,24.80,705.60,1196.01,440.80,1070.00,30.52,1230.65
1991,Bangalore,SESAMUM,4.98,177.11,300.21,331.93,1070.00,2.82,566.27
1991,Bangalore,RAPESEEN & MUSTARD,2.05,174.98,74.15,36.44,1070.00,0.67,326.83
1991,Bangalore,SAFFLOWER,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,CASTOR,3.53,301.30,127.68,94.11,1070.00,3.85,1090.65
1991,Bangalore,LINSEED,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,SUNFLOWER,0.45,38.41,32.55,12.00,1070.00,0.22,488.89
1991,Bangalore,SOYABEAN,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
1991,Bangalore,OILSEEDS,39.37,1120.14,1898.66,699.77,1070.00,38.98,990.09
1991,Bangalore,SUGARCANE,2.08,665.77,280.87,406.67,1070.00,19.98,9605.77
1991,Bangalore,COTTON,0.00,0.00,0.00,0.00,1070.00,0.00,0.00
